so2,so2,so2,so2,so2,so2,so2,so2,so2,so2,so2,so2,so2,so2
-0.599741336,18.46389497,-45.95933297,-12.80374786,-1.970434116,11.99219189,13.92058041,-16.76661371,-18.7522135,10.82834674,2.289136589,3.183067403,-2.257498371,69.42236387
0.476267109,15.09561763,-41.48914635,-12.88630045,-3.575851872,10.9313548,14.25014596,-16.97074234,-18.79202717,10.84367147,2.288856188,3.183404403,-2.257596388,69.42234701
2.158420455,6.652357054,-32.57557573,-12.07281762,-5.07139136,9.824463694,14.58598777,-17.1759443,-18.83124205,10.85881163,2.28855326,3.183741157,-2.25769411,69.42233015
1.087036724,-2.989082822,-20.5293069,-10.52494327,-6.436537567,8.676830456,14.92714969,-17.38187603,-18.86986411,10.87376664,2.28822777,3.184077663,-2.257791535,69.42231329
-3.102390919,-10.11799589,-7.140102931,-8.397416891,-7.657679896,7.493766952,15.27267553,-17.58819398,-18.9078993,10.88853597,2.287879681,3.18441392,-2.257888664,69.42229642
-7.817390241,-12.86972232,5.65134028,-5.843996411,-8.722189322,6.280585054,15.62160915,-17.79455459,-18.94535358,10.90311905,2.287508958,3.184749928,-2.257985496,69.42227955
-6.202493968,-10.98561854,16.11734807,-3.01753265,-9.61834392,5.042596634,15.97299437,-18.00061431,-18.9822329,10.91751532,2.287115565,3.185085687,-2.258082032,69.42226268
-3.511151465,-3.226945302,24.11906674,-0.070649655,-10.33464854,3.785113562,16.32587504,-18.20602958,-19.01854323,10.93172424,2.286699466,3.185421196,-2.258178272,69.4222458
5.159590892,3.939149481,29.92712676,2.844028524,-10.85960802,2.513447711,16.679295,-18.41045686,-19.05429051,10.94574524,2.286260624,3.185756453,-2.258274215,69.42222892
2.754094665,8.834109955,33.8121586,5.573877839,-11.18172721,1.232910951,17.03229807,-18.61355257,-19.08948071,10.95957777,2.285799005,3.186091459,-2.258369861,69.42221204
6.753871234,6.332431926,35.9543674,7.966498094,-11.28951097,-0.051184845,17.3839281,-18.81497317,-19.12411978,10.97322128,2.285314571,3.186426213,-2.258465211,69.42219515
-3.885669271,-2.371867886,36.30739932,9.872628419,-11.17098964,-1.334002299,17.73322893,-19.01437511,-19.15821368,10.98667521,2.284807288,3.186760713,-2.258560264,69.42217826
-5.988712644,-6.404520375,35.26570543,11.16154656,-10.81231014,-2.612587468,18.07924439,-19.21141483,-19.19176836,10.99993901,2.284277119,3.18709496,-2.25865502,69.42216137
0.867741414,-2.769926,33.29669252,11.76105803,-10.19924772,-3.884358082,18.42101831,-19.40574877,-19.22478979,11.01301211,2.283724029,3.187428953,-2.258749479,69.42214448
5.793331356,2.80448774,30.75821109,11.6884218,-9.3212792,-5.146538614,18.75759454,-19.59703338,-19.25728391,11.02589397,2.28314798,3.187762692,-2.258843642,69.42212758
2.761622936,4.604301436,27.8986603,11.00163065,-8.186269962,-6.396182792,19.08801692,-19.7849251,-19.28925669,11.03858402,2.282548939,3.188096174,-2.258937507,69.42211068
-2.153092799,3.313708591,24.58620391,9.781813259,-6.824851263,-7.629817179,19.41132928,-19.96908038,-19.32071409,11.05108172,2.281926868,3.188429401,-2.259031075,69.42209377
-5.147123834,1.143081772,20.47342562,8.122251462,-5.280025159,-8.843750707,19.72657545,-20.14915567,-19.35166205,11.06338651,2.281281731,3.18876237,-2.259124347,69.42207686
-1.983928162,-0.429352513,15.51220523,6.118219264,-3.596808752,-10.03426942,20.03279928,-20.32480741,-19.38210654,11.07549782,2.280613494,3.189095082,-2.259217321,69.42205995
1.250402,-1.226156366,9.837845358,3.864990662,-1.820219145,-11.19765936,20.3290446,-20.49569204,-19.41205352,11.08741512,2.279922119,3.189427536,-2.259309998,69.42204304
3.554268805,-1.635433973,3.836696345,1.457839656,0.004726561,-12.33020658,20.61435525,-20.66146601,-19.44150893,11.09913783,2.279207571,3.189759731,-2.259402377,69.42202612
4.217668603,-1.919070749,-2.052704445,-1.007959754,1.833011262,-13.42819711,20.88777507,-20.82178577,-19.47047875,11.11066542,2.278469814,3.190091667,-2.259494459,69.4220092
2.093006444,-1.830615994,-7.462564457,-3.437133568,3.619617858,-14.487917,21.14834789,-20.97630776,-19.49896891,11.12199731,2.277708813,3.190423343,-2.259586244,69.42199228
-2.52765199,-1.599540697,-12.03883008,-5.734407788,5.319529245,-15.50565229,21.39511755,-21.12468842,-19.52698539,11.13313296,2.27692453,3.190754758,-2.259677732,69.42197535
-3.718709825,-1.269043598,-15.49725115,-7.804508413,6.887728321,-16.47768903,21.62714305,-21.26659936,-19.55453413,11.1440718,2.276116931,3.191085911,-2.259768921,69.42195842
0.521500229,-1.079438685,-17.75253266,-9.552161445,8.279197985,-17.40031327,21.84354401,-21.40177282,-19.5816211,11.1548133,2.275285979,3.191416803,-2.259859814,69.42194149
3.37285212,0.111183328,-18.9197181,-10.88218433,9.448921134,-18.26981103,22.04345524,-21.5299562,-19.60825225,11.16535688,2.274431639,3.191747432,-2.259950408,69.42192455
0.126281145,2.358839432,-18.43093729,-11.69747724,10.35188067,-19.08246837,22.22601152,-21.65089689,-19.63443353,11.17570199,2.273553874,3.192077797,-2.260040705,69.42190761
-2.986512375,2.690984932,-15.56480758,-11.89677879,10.94371183,-19.83510102,22.39035697,-21.76435164,-19.66017092,11.18584808,2.272652649,3.192407899,-2.260130704,69.42189067
-0.858596844,-0.2948696,-10.48848918,-11.4095601,11.19615743,-20.52664348,22.53567306,-21.87011451,-19.68547035,11.19579459,2.271727928,3.192737736,-2.260220405,69.42187373
2.700661933,-2.92451822,-3.814783561,-10.22417697,11.13593569,-21.1568777,22.66115061,-21.96798892,-19.71033779,11.20554097,2.270779674,3.193067307,-2.260309809,69.42185678
0.012787019,-1.902490851,3.551354821,-8.342533729,10.80431379,-21.72658602,22.76600125,-22.05779912,-19.7347792,11.21508667,2.269807853,3.193396613,-2.260398914,69.42183983
-2.53698283,0.701397576,9.636540807,-5.766547331,10.24180667,-22.23578597,22.84952645,-22.13945919,-19.75880053,11.22443111,2.268812427,3.193725652,-2.260487722,69.42182287
-2.163780188,2.877061718,12.19803099,-2.498134715,9.48865864,-22.68422443,22.91108131,-22.21293682,-19.78240774,11.23357376,2.267793362,3.194054424,-2.260576231,69.42180592
2.437328125,3.032750573,9.671932392,1.373536643,8.585114003,-23.07164826,22.95005308,-22.2782319,-19.80560678,11.24251406,2.26675062,3.194382928,-2.260664442,69.42178896
-2.303864123,-0.596475851,3.47871377,5.413265943,7.571417061,-23.39780435,22.96583546,-22.33535071,-19.82840362,11.25125144,2.265684167,3.194711163,-2.260752355,69.42177199
-2.16254136,-3.009894456,-3.206465774,9.110477146,6.487812115,-23.66243956,22.9578099,-22.38428732,-19.8508042,11.25978536,2.264593966,3.195039129,-2.26083997,69.42175502
-0.05148656,-1.33752767,-7.483071889,11.95756303,5.374543468,-23.86535622,22.92537109,-22.42499359,-19.87281449,11.26811526,2.263479982,3.195366825,-2.260927286,69.42173805
1.983629035,1.503586994,-8.699476524,13.46572603,4.271855424,-24.00664131,22.86821314,-22.45743612,-19.89444045,11.27624058,2.262342178,3.195694251,-2.261014304,69.42172108
1.507181377,2.772980435,-7.159716861,13.34192714,3.213283341,-24.08672081,22.78637586,-22.48158824,-19.91568802,11.28416077,2.261180519,3.196021406,-2.261101024,69.42170411
-1.742651267,2.40257898,-3.688081562,11.79402839,2.205515311,-24.1062487,22.68012711,-22.49742329,-19.93656317,11.29187527,2.259994968,3.196348288,-2.261187445,69.42168713
-1.066915033,0.07687569,0.723987352,9.150457733,1.248484492,-24.06606796,22.5499237,-22.50491461,-19.95707186,11.29938353,2.258785491,3.196674899,-2.261273568,69.42167014
1.554468667,-2.540609204,4.628228257,5.736322355,0.342112544,-23.96706688,22.39626778,-22.50403553,-19.97722003,11.30668499,2.25755205,3.197001236,-2.261359392,69.42165316
-0.160872374,-1.755967126,6.498014659,1.867156749,-0.513678873,-23.81014904,22.21967679,-22.4947613,-19.99701175,11.3137791,2.25629461,3.197327299,-2.261444917,69.42163617
-1.381324981,0.978484893,6.443433975,-2.145978269,-1.3189681,-23.59627151,22.02072164,-22.47707504,-20.01644317,11.3206653,2.255013135,3.197653088,-2.261530143,69.42161918
0.981722164,2.363192868,5.390638731,-6.05784819,-2.073833474,-23.32639938,21.79998129,-22.45096508,-20.03550527,11.32734304,2.253707589,3.197978602,-2.261615071,69.42160218
1.143196399,1.314025957,4.279866298,-9.659042506,-2.778353338,-23.00149637,21.5580333,-22.41642913,-20.05417962,11.33381175,2.252377937,3.19830384,-2.2616997,69.42158518
-1.154911008,-0.608254421,2.794312067,-12.74506492,-3.43260603,-22.62252618,21.29545522,-22.3734672,-20.07244552,11.34007089,2.251024141,3.198628802,-2.26178403,69.42156818
-1.057754657,-2.11955282,0.560983273,-15.11141915,-4.03666989,-22.19045251,21.01282461,-22.32207928,-20.09028225,11.3461199,2.249646167,3.198953486,-2.261868061,69.42155118
1.094706125,-1.646546986,-2.447534931,-16.55360889,-4.590623258,-21.70623907,20.71071904,-22.26226538,-20.10766912,11.35195822,2.248243979,3.199277894,-2.261951793,69.42153417
1.180454874,0.55030947,-5.132824393,-16.86586733,-5.095815004,-21.17084956,20.38971605,-22.1940255,-20.12458541,11.3575853,2.24681754,3.199602022,-2.262035225,69.42151716
-0.434065808,2.240897757,-6.080727945,-15.84187432,-5.558680209,-20.58524769,20.0503932,-22.11735964,-20.14101041,11.36300059,2.245366815,3.199925872,-2.262118359,69.42150015
-1.765280028,1.615140418,-4.59391568,-13.38437021,-5.986940847,-19.95039716,19.69332805,-22.0322678,-20.15692342,11.36820352,2.243891767,3.200249442,-2.262201193,69.42148313
-0.188409872,-1.278120177,-1.401783511,-9.76948726,-6.388295959,-19.2672887,19.31909816,-21.93874997,-20.17230374,11.37319355,2.242392362,3.200572732,-2.262283728,69.42146611
2.0627519,-3.064497518,2.261514966,-5.365573531,-6.770119727,-18.5372379,18.92828109,-21.83680617,-20.18713065,11.37797011,2.240868562,3.20089574,-2.262365964,69.42144909
