pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5
4.374170159,-65.64489188,-36.70927524,-10.40041472,0.193145253,-16.99920898,8.300993042,-193.3782157,23.83550703,-23.70424152,241.9446964,-91.65211959,248.3698557
8.642701123,-49.49657277,-31.86041,-8.816659159,-0.922601098,-23.54046764,7.048269644,-192.8691625,23.88646452,-23.80970564,242.0114727,-91.65154314,248.3682139
14.04313093,-26.79929081,-22.91456548,-6.28118289,-2.108483254,-29.99202182,5.781244738,-192.3242428,23.93707133,-23.91544936,242.0781719,-91.65095432,248.3665718
2.253249033,-3.987934345,-11.42091543,-3.103294293,-3.346871576,-36.32792244,4.502203741,-191.7437379,23.98732619,-24.02147316,242.1447938,-91.65035315,248.3649295
-14.74223681,19.00569,1.069973042,0.406863062,-4.618086445,-42.52204183,3.213432072,-191.1279293,24.03722784,-24.12777752,242.2113385,-91.64973961,248.363287
-11.29394692,40.72510367,13.00753284,3.931319758,-5.895084141,-48.5477906,1.917215148,-190.4770982,24.08677504,-24.23436293,242.2778059,-91.64911371,248.3616441
0.575062585,55.65626389,22.84119688,7.149876449,-7.149077848,-54.37809253,0.615838386,-189.7915261,24.13596651,-24.34122987,242.344196,-91.64847544,248.3600011
8.790234166,57.18774179,29.01928558,9.74978818,-8.359029549,-59.98557696,-0.688412795,-189.0714942,24.184801,-24.44837882,242.4105086,-91.64782479,248.3583578
13.87559684,40.28499223,30.49143276,11.42046639,-9.513185612,-65.34252894,-1.993252977,-188.317284,24.23327725,-24.55581027,242.4767438,-91.64716177,248.3567142
1.407099082,6.286744792,28.1407549,11.92159817,-10.60989505,-70.42008335,-3.296396743,-187.5291767,24.28139401,-24.6635247,242.5429015,-91.64648637,248.3550704
-12.73907776,-28.05748337,23.00224327,11.37885436,-11.6667948,-75.18896615,-4.595558674,-186.7074537,24.32915,-24.77152259,242.6089817,-91.64579859,248.3534263
-2.817186599,-48.01774084,16.02220038,9.975642695,-12.67062425,-79.61984896,-5.888453354,-185.8523964,24.37654398,-24.87980442,242.6749842,-91.64509843,248.351782
8.345501148,-51.8110577,8.146870957,7.885916231,-13.59869974,-83.68331404,-7.172795364,-184.9642862,24.42357469,-24.98837069,242.7409091,-91.64438588,248.3501374
9.737016497,-42.7750452,0.197778475,5.283628038,-14.42835571,-87.3499255,-8.446299286,-184.0434043,24.47024085,-25.09722187,242.8067563,-91.64366094,248.3484926
2.668375479,-24.84932314,-7.424530053,2.342731179,-15.1368496,-90.59032449,-9.706679703,-183.0900321,24.51654123,-25.20635844,242.8725257,-91.64292361,248.3468476
-6.728111477,-3.961718918,-14.13259444,-0.76282128,-15.70132775,-93.37526325,-10.9516512,-182.104451,24.56247455,-25.31578089,242.9382173,-91.64217389,248.3452023
-6.61385315,13.54575069,-19.26104587,-3.859076275,-16.09723923,-95.67719129,-12.17892835,-181.0869424,24.60803956,-25.4254897,243.003831,-91.64141176,248.3435567
5.8394143,25.25139627,-22.14451555,-6.772080741,-16.29026778,-97.47832345,-13.38622574,-180.0377875,24.65323488,-25.53548524,243.0693669,-91.64063724,248.3419109
3.139806497,38.61367665,-22.14886518,-9.296651107,-16.22928624,-98.77768545,-14.57125796,-178.9572677,24.69805873,-25.64576746,243.1348247,-91.63985031,248.3402648
-4.225400756,46.16189044,-18.70148273,-11.16605817,-15.84884982,-99.58864005,-15.73173958,-177.8456644,24.74250908,-25.75633609,243.2002046,-91.63905098,248.3386185
-2.658515301,38.57152605,-11.41333291,-12.33501996,-15.07513038,-99.93451548,-16.86534194,-176.7033023,24.78658391,-25.86719083,243.2655064,-91.63823923,248.336972
5.032203778,13.88966919,-1.594923401,-12.81141372,-13.84250231,-99.84328783,-17.96965198,-175.5306836,24.83028116,-25.97833137,243.33073,-91.63741508,248.3353252
-4.695261202,-20.21934348,8.4804226,-12.55037412,-12.1353327,-99.34592252,-19.04262787,-174.3283772,24.87359877,-26.08975741,243.3958755,-91.63657851,248.3336781
-0.135435677,-41.82944601,16.40016033,-11.40256321,-10.03848226,-98.47695291,-20.08261807,-173.0969724,24.91653469,-26.20146862,243.4609428,-91.63572952,248.3320308
-0.822061982,-44.27826338,19.9446529,-9.192755589,-7.661824636,-97.27139547,-21.08835147,-171.8370695,24.95908688,-26.31346472,243.5259318,-91.63486811,248.3303833
1.005759525,-33.88021888,18.14127637,-5.840183679,-5.115632312,-95.76378023,-22.0590415,-170.5492709,25.00125329,-26.42574537,243.5908425,-91.63399428,248.3287355
3.397451344,-18.17326585,12.13531074,-1.666976628,-2.510177775,-93.98803176,-22.99450704,-169.2341788,25.04303185,-26.53831029,243.6556748,-91.63310802,248.3270874
-3.06203628,-0.311410264,3.644031897,2.813265428,0.04426649,-91.97794135,-23.89470027,-167.8923955,25.08442053,-26.65115915,243.7204287,-91.63220934,248.3254391
