date,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
11/27/2020 3:00,117.0112048,574.9849487,-690.4218509,36.60116731,-67.39052576,-640.1507053,-490.8365711,3010.787111,-404.1614464,222.5066681
11/27/2020 4:00,27.84681262,668.5441258,-570.8747491,-7.227832989,-77.92908545,-698.8854189,-475.4761525,3025.406227,-405.7480698,223.3241431
11/27/2020 5:00,30.43653434,526.7225772,-402.5795363,-51.96682535,-88.11405049,-756.0562659,-459.8318462,3040.160341,-407.329946,224.1390179
11/27/2020 6:00,93.87689248,143.794928,-203.4476858,-96.67401054,-97.90572417,-811.5173845,-443.9083185,3055.047064,-408.9070432,224.9512827
11/27/2020 7:00,-67.22835471,-334.5228259,4.860722647,-140.4075893,-107.2644098,-865.1229129,-427.7102358,3070.064007,-410.4793297,225.7609281
11/27/2020 8:00,-6.853318552,-652.7768192,200.6856093,-182.2257625,-116.1504105,-916.7269893,-411.2422643,3085.208784,-412.0467739,226.5679444
11/27/2020 9:00,-91.65059258,-665.0539132,363.3061034,-221.1867307,-124.5240297,-966.1837518,-394.5090703,3100.479007,-413.609344,227.3723221
11/27/2020 10:00,-53.50228205,-428.5837129,480.9835895,-256.3486948,-132.3455706,-1013.347339,-377.5153201,3115.872287,-415.1670085,228.1740515
11/27/2020 11:00,52.52714313,-59.72434259,563.8203361,-286.7698556,-139.5753364,-1058.071888,-360.2656801,3131.386236,-416.7197356,228.973123
11/27/2020 12:00,65.1630121,332.650856,627.1440301,-311.5084138,-146.1736305,-1100.211538,-342.7648166,3147.018467,-418.2674935,229.769527
11/27/2020 13:00,92.70276479,597.1164301,686.2823586,-329.6225701,-152.1007561,-1139.620426,-325.0173957,3162.766591,-419.8102507,230.5632538
11/27/2020 14:00,55.5639973,689.976771,756.5630087,-340.1736862,-157.3138557,-1176.152692,-307.028084,3178.628223,-421.3479755,231.3542938
11/27/2020 15:00,-113.2902986,643.0168367,845.4277049,-342.2999674,-161.6932278,-1209.662217,-288.8018028,3194.600972,-422.8806361,232.1426375
11/27/2020 16:00,-119.99832,476.2031933,931.6477524,-335.4101756,-164.8433279,-1240.006673,-270.3449733,3210.68245,-424.4082011,232.9282751
11/27/2020 17:00,87.95387403,233.6325073,997.6022182,-318.9781621,-166.2801214,-1267.064962,-251.6661846,3226.870271,-425.9306384,233.7111972
11/27/2020 18:00,142.2040815,-49.82584337,1028.543601,-292.2618445,-165.7213808,-1290.729633,-232.7745044,3243.162047,-427.4479166,234.4913941
11/27/2020 19:00,-8.964108156,-335.5582718,1010.005211,-254.4990879,-163.178109,-1310.900875,-213.6790002,3259.555389,-428.960004,235.2688561
11/27/2020 20:00,-133.9033055,-587.8849914,928.9152269,-206.1938753,-158.7632228,-1327.505707,-194.3887395,3276.04791,-430.4668688,236.0435737
11/27/2020 21:00,-77.77358259,-747.7587541,773.5690839,-149.200408,-152.5895683,-1340.48826,-174.9127899,3292.637222,-431.9684794,236.8155372
11/27/2020 22:00,-0.186187643,-755.2326083,539.0253025,-85.64449904,-144.7605302,-1349.802127,-155.2602188,3309.320936,-433.4648041,237.584737
11/27/2020 23:00,-4.57886561,-578.7501948,245.9294917,-17.65196115,-135.349739,-1355.430424,-135.4403246,3326.096665,-434.9558112,238.3511636
11/28/2020 0:00,-81.45281276,-251.5543536,-79.75008833,52.65139279,-124.4040846,-1357.381937,-115.4634757,3342.962021,-436.4414691,239.1148072
11/28/2020 1:00,-104.0074887,141.5135772,-411.0384166,123.1397499,-111.9366159,-1355.697916,-95.34141936,3359.914617,-437.921746,239.8756583
11/28/2020 2:00,63.83576871,505.9977466,-720.6140807,191.6872974,-97.91962817,-1350.457986,-75.08827885,3376.952064,-439.3966103,240.6337073
11/28/2020 3:00,132.2525716,772.8253539,-981.1556684,256.1682225,-82.30770139,-1341.758932,-54.71873457,3394.071974,-440.8660302,241.3889445
11/28/2020 4:00,75.22704284,865.3869778,-1167.953658,314.4567122,-65.05304313,-1329.699911,-34.2474669,3411.271961,-442.3299742,242.1413604
11/28/2020 5:00,77.97959923,734.4520581,-1267.962235,364.4455063,-46.10786091,-1314.38008,-13.68915623,3428.549633,-443.7884104,242.8909452
11/28/2020 6:00,164.5725103,364.3250087,-1274.381614,404.3865469,-25.42436228,-1295.898596,6.94151707,3445.902607,-445.2413073,243.6376895
11/28/2020 7:00,-32.69509113,-194.220777,-1176.737216,433.7211398,-2.954754757,-1274.354616,27.62987261,3463.328493,-446.6886332,244.3815835
11/28/2020 8:00,5.189236317,-723.8806521,-963.4473942,452.3127624,21.33495093,-1249.847297,48.36123,3480.824902,-448.1303564,245.1226178
11/28/2020 9:00,-207.3062434,-950.253937,-623.4631987,460.2017521,47.33272838,-1222.475795,69.12090888,3498.389447,-449.566445,245.8607826
11/28/2020 10:00,-126.2532841,-717.4285523,-162.1570634,457.7760958,74.57890165,-1192.339268,89.89422885,3516.019741,-450.9968677,246.5960682
11/28/2020 11:00,71.97071494,-132.4590712,356.9408764,445.3953003,102.642275,-1159.536873,110.6665095,3533.713395,-452.4215925,247.3284653
11/28/2020 12:00,-72.25220195,581.3744512,855.8865237,423.3870701,131.1234548,-1124.167766,131.4230705,3551.468022,-453.840588,248.057964
11/28/2020 13:00,84.5854745,1018.926495,1256.735781,392.0990145,159.6031428,-1086.331105,152.1492315,3569.281233,-455.2538222,248.7845549
11/28/2020 14:00,275.6941343,958.2470323,1487.636179,351.8880861,187.6526975,-1046.126047,172.830312,3587.150641,-456.6612636,249.5082282
11/28/2020 15:00,125.2468104,329.5529462,1513.719874,303.1169855,214.8735482,-1003.651748,193.4516317,3605.073858,-458.0628805,250.2289744
11/28/2020 16:00,-286.2352679,-435.324464,1356.523676,246.3911929,240.9270802,-959.0073653,213.9985102,3623.048495,-459.4586413,250.9467838
11/28/2020 17:00,161.7862585,-889.0849693,1049.564681,182.9656418,265.498878,-912.2920563,234.4562672,3641.072166,-460.848514,251.6616469
