no,no,no,no,no,no,no,no,no,no,no,no,no
0.593762292,-4.342159818,12.4552818,-12.86433946,2.578157909,-14.91006443,-2.772409609,-13.27711671,-14.70887506,-9.2701587,-0.369593762,25.25710617,31.63040938
0.224652797,-2.934018513,9.475297561,-11.33522182,3.134283386,-15.97104354,-2.371501279,-12.84173415,-14.6346748,-9.268837231,-0.367733753,25.26011314,31.6304182
-1.499288575,0.471692542,4.955170774,-8.949576369,3.643209827,-16.96549486,-1.961843744,-12.39502981,-14.55916465,-9.267373886,-0.365837523,25.2631088,31.63042746
-4.16111699,4.91597298,-0.312747025,-5.949737082,4.091512926,-17.8869445,-1.544066974,-11.9373819,-14.48234701,-9.265769557,-0.363905232,25.26609319,31.63043717
-6.187901283,8.322222042,-5.474490241,-2.57803792,4.465852208,-18.72878885,-1.11901451,-11.46916863,-14.40422429,-9.264025135,-0.361937038,25.26906631,31.63044732
-1.245905762,7.936768284,-9.799827125,0.923187154,4.752893419,-19.48437708,-0.687583288,-10.99076821,-14.32479888,-9.262141512,-0.359933101,25.27202819,31.63045792
6.957711611,4.746716875,-12.9321149,4.315310191,4.939302303,-20.14709594,-0.250632698,-10.50255886,-14.2440732,-9.260119581,-0.35789358,25.27497883,31.63046896
9.562710705,0.238192946,-14.63136045,7.380415109,5.011746707,-20.71050442,0.191148009,-10.00491879,-14.16204965,-9.257960233,-0.355818635,25.27791825,31.63048045
8.655753563,-4.788037109,-14.71454778,9.956019507,4.957245382,-21.1686136,0.637170778,-9.498226195,-14.07873062,-9.25566436,-0.353708423,25.28084647,31.63049238
5.804712915,-9.772417591,-13.11958358,12.00056369,4.764838569,-21.5173924,1.086783922,-8.982859303,-13.99411852,-9.253232854,-0.351563105,25.2837635,31.63050475
3.194770517,-13.48130852,-9.813260103,13.50998021,4.427403996,-21.75654449,1.539232965,-8.459196319,-13.90821576,-9.250666607,-0.349382839,25.28666937,31.63051758
-2.678540872,-14.4496297,-4.826489743,14.48253052,3.942058365,-21.88993765,1.993688629,-7.927615454,-13.82102473,-9.247966511,-0.347167785,25.28956408,31.63053084
-8.476478923,-11.509823,1.334127613,14.9176177,3.305674187,-21.92228997,2.449274499,-7.388494919,-13.73254784,-9.245133458,-0.344918101,25.29244766,31.63054456
-15.2691308,-2.88159458,7.668085853,14.81562556,2.514143204,-21.85828708,2.905081725,-6.842212925,-13.64278749,-9.242168339,-0.342633947,25.29532011,31.63055871
-6.020848378,10.05903614,13.07545682,14.16031849,1.579976603,-21.70261433,3.360201189,-6.289147684,-13.55174609,-9.239072048,-0.340315482,25.29818146,31.63057332
16.86268761,18.70737863,16.45631234,12.91820061,0.532945844,-21.45995878,3.813725445,-5.729677406,-13.45942604,-9.235845475,-0.337962865,25.30103172,31.63058836
13.41462492,15.97157735,17.00635139,11.07506672,-0.593758942,-21.13500746,4.264747067,-5.164180301,-13.36582974,-9.232489512,-0.335576255,25.30387091,31.63060386
