E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
0.857821659,27.20075643,40.66453694,3.095694093,0.165290693,-3.092936229,-0.590635792,-4.327495667,2.746303413,-22.80816029,-4.486387734,67.86521248
-37.73657637,2.603688223,27.00469141,3.747013674,0.626849296,-3.472642754,-0.69845804,-4.291379566,2.759503368,-22.81892945,-4.479325178,67.86556538
-28.07664842,-21.95963557,11.81010625,4.295602489,1.07177937,-3.825660502,-0.807547937,-4.254679581,2.772759077,-22.82974001,-4.472253283,67.8659181
3.698585923,-40.02564634,-3.960767695,4.733653897,1.491598204,-4.148794472,-0.917805739,-4.217399984,2.786069536,-22.84059191,-4.465172057,67.86627064
26.26151072,-47.55217919,-19.34947959,5.053361254,1.87782309,-4.438849659,-1.029131705,-4.179545053,2.799433742,-22.85148509,-4.458081505,67.86662299
34.18062342,-41.58348935,-33.4572718,5.246917917,2.221971317,-4.692631061,-1.141426095,-4.141119062,2.812850689,-22.86241949,-4.450981636,67.86697515
26.35230528,-21.64428363,-45.64281892,5.306530255,2.515549183,-4.906945696,-1.254589167,-4.102126286,2.826319374,-22.87339506,-4.443872455,67.86732713
8.378862559,6.169137238,-55.39912667,5.224719978,2.749807435,-5.078660368,-1.368521179,-4.062571001,2.839838791,-22.88441173,-4.436753969,67.86767892
-11.68416368,33.32589721,-62.23786023,4.994404643,2.915852449,-5.204893361,-1.483122391,-4.022457481,2.853407938,-22.89546945,-4.429626187,67.86803053
-25.8601736,51.37406148,-65.67068477,4.60527862,3.008238134,-5.282987304,-1.598293061,-3.981790003,2.86702581,-22.90656815,-4.422489114,67.86838196
-28.40237257,54.0915004,-65.21281726,4.046696887,3.025499349,-5.310374594,-1.713933447,-3.94057284,2.880691401,-22.91770777,-4.415342758,67.8687332
-19.03203968,40.91505072,-60.59004391,3.326885819,2.967749153,-5.285267309,-1.829937113,-3.898810269,2.894403709,-22.92888826,-4.408187125,67.86908426
-1.533891006,16.10855665,-52.31715101,2.479501383,2.837965271,-5.208777655,-1.946162157,-3.856506565,2.908161729,-22.94010955,-4.401022222,67.86943513
17.30108231,-12.86696991,-41.10528693,1.543669003,2.641203622,-5.084137471,-2.062425236,-3.813666003,2.921964457,-22.95137159,-4.393848057,67.86978581
30.88226355,-38.7508915,-27.66560006,0.558514099,2.382893628,-4.914960924,-2.178534189,-3.770292857,2.935810887,-22.96267431,-4.386664636,67.87013632
33.56235024,-55.22588488,-12.70923875,-0.436837907,2.068466775,-4.704864279,-2.294296816,-3.726391404,2.949700017,-22.97401766,-4.379471966,67.87048663
24.17278972,-60.44623065,3.065502639,-1.403261594,1.703354551,-4.4574638,-2.409520919,-3.681965918,2.963630842,-22.98540158,-4.372270055,67.87083677
6.00140182,-55.62868388,18.96643173,-2.301631539,1.292988439,-4.176375753,-2.5240143,-3.637020676,2.977602357,-22.996826,-4.365058908,67.87118672
-16.73087087,-41.40472004,34.13295379,-3.092822321,0.842799927,-3.865216402,-2.637584758,-3.591559951,2.991613558,-23.00829087,-4.357838534,67.87153648
-36.65614974,-18.05743652,47.65915997,-3.737708518,0.358220501,-3.527602012,-2.750040097,-3.545588019,3.005663441,-23.01979613,-4.350608938,67.87188606
-27.51923048,12.91274363,58.63914142,-4.197164709,-0.155318354,-3.167148848,-2.861188116,-3.499109156,3.019751002,-23.03134171,-4.343370128,67.87223545
24.30414811,44.84634041,66.16698931,-4.432065473,-0.692385151,-2.787473175,-2.970836618,-3.452127636,3.033875236,-23.04292757,-4.336122111,67.87258466
24.32778057,66.15434051,69.33679479,-4.403593319,-1.247240473,-2.392191257,-3.078793403,-3.404647735,3.04803514,-23.05455363,-4.328864894,67.87293369
39.05857087,64.57905061,67.51162686,-4.087912853,-1.812570046,-1.98491936,-3.184866272,-3.356673728,3.062229708,-23.06621983,-4.321598483,67.87328253
6.301699575,37.53650115,61.13618307,-3.516922561,-2.378954666,-1.569273748,-3.288863028,-3.308209891,3.076457938,-23.07792613,-4.314322886,67.87363118
-40.33135354,-1.372016065,50.94700765,-2.737993406,-2.934909897,-1.148870687,-3.390591472,-3.259260498,3.090718823,-23.08967246,-4.30703811,67.87397966
-29.57046489,-37.18957027,37.68636209,-1.799017378,-3.468430273,-0.72732644,-3.489859404,-3.209829824,3.105011361,-23.10145876,-4.299744161,67.87432794
7.730081388,-61.64482297,22.09650783,-0.747910598,-3.967486193,-0.308257273,-3.586474626,-3.159922146,3.119334546,-23.11328496,-4.292441046,67.87467605
